Title,Price,Rating,Address,Img_URL,Description,Rank_of_province,Link_Food
Bún Đậu Hàng Hiệu,-1,-1,"64B P. Quán Sứ, Hà Nội Việt Nam",-1,"Giao hàng, Đặt chỗ, Chỗ ngồi, Có bãi đỗ xe, Bãi đỗ xe đường phố, Phục vụ đồ uống có cồn, Rượu và bia, Thanh toán điện tử, Chỉ chấp nhận tiền mặt",,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d26321187-Reviews-Bun_D_u_Hang_Hi_u-Hanoi.html
The Pizza Company,-1,-1,"24 Nguyễn Cơ Thạch Golden Field Building, Hà Nội 100000 Việt Nam",-1,99.000 ₫ - 699.000 ₫,,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d23082796-Reviews-The_Pizza_Company-Hanoi.html
Hảo Hảo Coffee,-1,-1,"80,Đường Tàu, Hà Nội 100000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/18/ab/c2/12/welcome.jpg,"Bữa sáng, Bữa trưa, Bữa tối",,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d17415270-Reviews-H_o_H_o_Coffee-Hanoi.html
Omoide Sakaba,-1,-1,"64 Phan Ke Binh Cong Vi, Ba Dinh, Hà Nội Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/1a/06/c3/03/getlstd-property-photo.jpg,150.000 ₫ - 500.000 ₫,,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d19452708-Reviews-Omoide_Sakaba-Hanoi.html
Kichi Kichi Artemis,-1,-1,"3 Lê Trọng Tấn Tầng 5, TTTM The Artemis, Thanh Xuân, Hà Nội 100000 Việt Nam",-1,50.000 ₫ - 500.000 ₫,,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d15101202-Reviews-Kichi_Kichi_Artemis-Hanoi.html
Hoang Hà Quan,-1,-1,"Nhà E3, Khu 7, 2Ha, Hà Nội 100000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-p/29/d2/66/7a/this-is-an-authentic.jpg,"Bữa sáng, Bữa trưa, Bữa nửa buổi, Đồ uống",,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d26321813-Reviews-Hoang_Ha_Quan-Hanoi.html
Nhà Hàng Container,-1,-1,"38 - 40 Khu Đô Thị Mới Sóc Sơn, Huyện Sóc Sơn, Hà Nội Việt Nam",-1,"Cửa hàng thức ăn ngon, Kiểu Việt",,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d11890290-Reviews-H_Container_Restaurant-Hanoi.html
Cuốn N Roll - Trần Thái Tông,-1,-1,"90 Trần Thái Tông Tầng 1 Tòa Sunrise, Cầu Giấy, Hà Nội 100000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/1b/99/e7/f4/khong-gian-cu-n-n-roll.jpg,"Bữa trưa, Bữa tối",,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d19881772-Reviews-Cuon_N_Roll_Tran_Thai_Tong-Hanoi.html
Snack Kach Snack Bum,-1,-1,"202 Ngõ Xã Đàn 2, Xã Đàn, Quận Đống Đa, Hà Nội 10000 Việt Nam",-1,Kiểu Việt,,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d7157795-Reviews-Snack_Kach_Snack_Bum-Hanoi.html
Hanjandeo Coffee & Room Hof,-1,-1,"Ngõ 176 Đình Thôn C8 Five Star, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội 100000 Việt Nam",-1,50.000 ₫ - 600.000 ₫,,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d17653567-Reviews-Hanjandeo_Coffee_Room_Hof-Hanoi.html
Hanoihomemeals,-1,-1,"20, 53 Bach Dang, Chuong Duong Do, Hoan Kiem, Hà Nội 11000 Việt Nam",-1,"Quầy bar, Cà phê, Kiểu Á, Quán rượu, Kiểu Việt",,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d25138864-Reviews-Hanoihomemeals-Hanoi.html
Chay Cực Lạc,-1,-1,"Số 9 ngõ 295 Thụy Khuê, Tây Hồ, Hà Nội Đối diện bệnh viện Thu Cúc, Hà Nội 100000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/21/7b/8f/9d/thu-n-chay-v-i-th-c-don.jpg,Cửa hàng thức ăn ngon,,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d23763908-Reviews-Chay_C_c_L_c-Hanoi.html
Nhà Hàng Sentosa,-1,-1,"67Y Phó Đức Chính, Trúc Bạch Ba Đình, Hà Nội Việt Nam",-1,"Đặt chỗ, Có bãi đỗ xe, Có ghế ăn cho bé, Wifi miễn phí, Phong cách gia đình",,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d23004406-Reviews-Nha_Hang_Sentosa-Hanoi.html
