Title,Price,Rating,Address,Img_URL,Description,Rank_of_province,Link_OutDoor
Đèo Mã Pí Lèng,-1,5.0,-1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/d6/1e/f3/nho-que-river.jpg?w=900&h=600&s=1,Một con đèo đẹp nằm trong tổng thể cả đoạn đèo từ thành phố Hà Giang đến cao nguyên đá Đồng Văn. Trên đèo có thể quan sát được dòng sông Nho Quế với hẻm Tu Sản nổi tiếng. Rất mong có dịp được quay lại nơi đây.,Số 2 trong 8 hoạt động giải trí tại Hà Giang,https://www.tripadvisor.com.vn/Attraction_Review-g1544599-d11019378-Reviews-Ma_Pi_Leng_Pass-Ha_Giang_Ha_Giang_Province.html
Công Ty TNHH Du Lịch Kim,-1,5.0,-1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/ea/e3/3c/mekong-delta-cai-be.jpg?w=1200&h=900&s=1,"Hướng dẫn viên Mike nhiệt tình, chăm sóc khách hàng trong chuyến đi rất tốt. Rất chu đáo từ đi lại đến ăn uống. Sẽ ủng hộ và giới thiệu đến nhiều bạn bè để ủng hộ ❤️❤️❤️",Số 18 trên 155 Chuyến tham quan bằng thuyền & thể thao dưới nước ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Attraction_Review-g293925-d6721127-Reviews-Kim_Travel-Ho_Chi_Minh_City.html
Hanoi Backstreet Tours,-1,5.0,-1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/c5/38/d7/hanoi-food-culture-sight.jpg?w=1200&h=900&s=1,"Quá Tuyệt Vời,Nhân Viên Nhiệt tình, có một chuyến đi thật tuyệt vời ok 👍 , nhân viên chu đáo ......",Số 50 trên 456 Đồ ăn & Đồ uống ở Hà Nội,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d11851500-Reviews-Hanoi_Backstreet_Tours-Hanoi.html
The Motorbike Station,-1,5.0,"196/41 Trần Cao Vân Thanh Khê, Đà Nẵng 550000 Việt Nam",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/87/24/a1/the-motorbike-station.jpg?w=800&h=500&s=1,"Anh chủ rất dễ thương và nhiệt tình <3
Tụi mình thuê 2 xe máy từ Huế vô Sài Gòn thì được mang xe từ Đà Nẵng ra tới Huế. Hôm sau chạy tới Đà Nẵng thì anh thay dầu xe cho (free) & đổi xe khác đi ổn hơn.
Anh còn mời tụi mình cafe mà do không có nhiều thời gian nên không ngồi hàn huyên được ;)
Bọn mình chạy trên đường gặp vấn đề cần sửa xe, thay lốp thì đều được anh trả tiền lại cho.
Do dịch nên kế hoạch tới Sài Gòn của mình cũng toang, bọn mình phải dừng tại Đà Lạt, may mắn là cũng có thể gửi xe từ Đà Lạt cho anh, rất tiện nghen mọi ngườiii.

Vote 5 sao cho anh chủ. Chúc anh sức khoẻ và ngày càng đông khách nhaa <3",Số 6 trên 248 Hoạt động ngoài trời ở Đà Nẵng,https://www.tripadvisor.com.vn/Attraction_Review-g298085-d12598185-Reviews-The_Motorbike_Station-Da_Nang.html
Paradise Cruises,-1,5.0,-1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/68/79/0c/paradise-luxury.jpg?w=1200&h=900&s=1,"Đồ ăn ngon chất lượng phục vụ tốt , nhân viên nhiệt tình , cảnh đẹp chúng tôi sẽ quay lại vào một ngày gần nhất",Số 32 trên 246 Hoạt động ngoài trời ở Vịnh Hạ Long,https://www.tripadvisor.com.vn/Attraction_Review-g293923-d6474689-Reviews-Paradise_Cruises-Halong_Bay_Quang_Ninh_Province.html
Hoi An Bike Rental,-1,5.0,"14 Cửa Đại, Hội An 560000 Việt Nam",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/fc/6e/bd/explore-hai-van-pass.jpg?w=800&h=500&s=1,"Nếu ai đã từng đi du lịch Hội An hoặc lần đầu đi Hội An thì nên tìm đến Hoi An Bike Rental...!
Không những được tư vấn nhiệt tình mà còn kỹ càng. Còn có cả phone holder cho khách để cho những khách không rành đường có thể vừa mở map vừa chạy đến nơi họ muốn.
Rất ưa là ưng ý với dịch vụ cho thuê xe tại Hoi An Bike Rental...!",Số 16 trên 314 Hoạt động ngoài trời ở Hội An,https://www.tripadvisor.com.vn/Attraction_Review-g298082-d10196707-Reviews-Hoi_An_Bike_Rental-Hoi_An_Quang_Nam_Province.html
Cat Ba Ventures,-1,5.0,-1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/a2/2e/ae/cat-ba-ventures.jpg?w=1200&h=-1&s=1,Cảm ơn Cat ba ventures đã mang đến cho chúng tôi một chuyến đi vô cùng thú vị ! Bữa ăn trưa rất tuyệt vời . Hướng dẫn viên Ben rất nhiệt tình và thân thiện !,Số 15 trên 75 Chuyến tham quan bằng thuyền & thể thao dưới nước ở Cát Bà,https://www.tripadvisor.com.vn/Attraction_Review-g737051-d1368569-Reviews-Cat_Ba_Ventures-Cat_Ba_Hai_Phong.html
Vega Travel,-1,5.0,-1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/68/35/30/vega-luxury-cruise-overview.jpg?w=1200&h=-1&s=1,"Vừa có một trải nghiệm tuyệt vời 2 ngày 1 đêm trên du thuyền Unicharm cùng công ty🥰
Đây là một hành trình khá thú vị và độc đáo ,mọi dịch vụ ở đây đều rất hoàn hảo
Phòng đẹp ,sạch sẽ ,tiện nghi và thoải mái
Đồ ăn tươi ngon ,đa dạng và phong phú
Ngoài ra trên tàu còn nhiều view sống ảo siêu đẹp 🥰
Nếu du lịch là để nghỉ ngơi ,thư giãn và khám phá .thì ngoài việc ăn uống ,ngủ nghỉ bạn còn đượcđiđi nghiệm những hoạt động vui chơi vô cùng thú vị như bơi lội , chèo thuyền ...
Điểm khiến mình rất ưng ý là đội ngũ nhân viên rất nhiệt tình , thân thiện và chuyên nghiệp
Đặc biệt là đi cùng đoàn có A hdv Quang đẹp trai , vui tính ,hòa đồng đã cung cấp cho cả đoàn nhiều thông tin bổ ích và lý thú về lịch sử , văn hóa và con người nơi đây .
Sẽ giới thiệu thêm nhiều bạn bè đến với Unicharm và sẽ quay lại vào một ngày gần nhất 😊",Số 3 trên 556 Chuyến tham quan bằng thuyền & thể thao dưới nước ở Hà Nội,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d1771418-Reviews-Vega_Travel-Hanoi.html
Vietnam Travel Group,-1,5.0,-1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/18/9a/5c/vietnam-travel-group.jpg?w=1200&h=-1&s=1,"Nhân viên tư vấn dễ thương. Tài xế đến đón đúng giờ, lái xe cẩn thận, nhân viên hướng dẫn thân thiện vui vẻ, xe ngồi thoải mái.",Số 8 trên 155 Chuyến tham quan bằng thuyền & thể thao dưới nước ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Attraction_Review-g293925-d7333808-Reviews-Vietnam_Travel_Group-Ho_Chi_Minh_City.html
Indochina Junk,-1,5.0,-1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/96/39/1d/indochina-junk-day-tours.jpg?w=1200&h=900&s=1,"Tôi và người yêu tôi đã đặt con tàu tình yêu 3 cho chuyến đi trong ngày tới vịnh Hạ Long và Bãi Tử Long, nơi đây khung cảnh tuyệt vời yên tĩnh và hoang sơ, đặc biệt cảm ơn anh em thủy thủ đoàn, nhất là Tài hướng dẫn viên đưa chúng tôi đi thăm Động thiên Cảnh Sơn anh có 1 bài thuyết trình rất hay về sự hình thành các măng và nhũ đá , chăm chút lo cho chúng tôi , Thuyền trưởng Hoàng đã lãi con tàu rất an toàn đưa chúng tôi đến những nơi đẹp nhất, Nam là một đầu bếp nấu những món hải Sản tươi ngon cho chúng tôi và Nhu thợ máy đã vận hành máy móc chạy khong gặp vần đề gi. Cảm ơn tất cả anh em thủy thủ đoàn",Số 39 trên 246 Hoạt động ngoài trời ở Vịnh Hạ Long,https://www.tripadvisor.com.vn/Attraction_Review-g293923-d2044615-Reviews-Indochina_Junk-Halong_Bay_Quang_Ninh_Province.html
Asiana Link Travel,-1,5.0,-1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/73/a2/40/asiana-link-cai-be-floating.jpg?w=1200&h=900&s=1,"Gia đình mình đã có 1 chuyến đi rất thú vị. Chương trình rất hay, hdv Triết nhiệt tình nhiều kiến thức và vui vẻ. Tài xế Tuấn lái xe rất an toàn. Cám ơn rất nhiều",Số 4 trên 155 Chuyến tham quan bằng thuyền & thể thao dưới nước ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Attraction_Review-g293925-d6351606-Reviews-Asiana_Link_Travel-Ho_Chi_Minh_City.html
Bhaya Cruises,-1,5.0,-1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/65/16/0f/bhaya-classic-the-largest.jpg?w=1100&h=800&s=1,Tôi đã trải nghiệm 2 ngày 1 đêm trên du thyêbf âu cơ 2. Cảm ơn đội ngũ nhân viên tàu và đặc biệt cảm ơn bạn Trang đã phục vụ gia đình tôi,Số 9 trên 246 Hoạt động ngoài trời ở Vịnh Hạ Long,https://www.tripadvisor.com.vn/Attraction_Review-g293923-d1751428-Reviews-Bhaya_Cruises-Halong_Bay_Quang_Ninh_Province.html
Swan Cruises,-1,5.0,-1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/e3/1f/21/swan-cruises-halong-day.jpg?w=1200&h=900&s=1,"Great trip, fun time, brilliant tour gaurd.
Mọi thứ đều rất tốt ( đặc biệt là service), hướng dẫn viên và các nhân viên trên tàu rất nhiệt tình.",Số 29 trên 556 Chuyến tham quan bằng thuyền & thể thao dưới nước ở Hà Nội,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8608476-Reviews-Swan_Cruises-Hanoi.html
Orchid Cruises,-1,5.0,-1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/14/c2/a7/tripadvisor-travelers.jpg?w=1200&h=900&s=1,"Rum làm việc rất cẩn thận, chu đáo. Cho gia đình cảm giác được về đến nhà. Thân thiện , lời nói nhỏ nhẹ rõ ràng. Cảm ơn em đã tận tình chăm sóc gia đình anh.",Số 5 trên 100 Chuyến tham quan & hoạt động ở Thành phố Hải Phòng,https://www.tripadvisor.com.vn/Attraction_Review-g303944-d11872593-Reviews-Orchid_Cruises-Hai_Phong.html
BestPrice Travel,-1,5.0,-1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/21/dc/f7/make-your-trip-awesome.jpg?w=1200&h=900&s=1,"We spent 3 days / 2 nights on the Halong Bay Cruise , was a great Cruise , Mon Cherry 2 or Mon Cheri Cruise 2, absolutely amazing all staff of the Cruise they are Amazing. We bought our trip ticket at BestPrice travel including our transfer from Hanoi to Halong Bay and Halong Bay to Cat Ba Island. Our experience was made so enjoyable as all stress was taken away through assistance of our consultant Anna. Thank you soo much Anna . We are highly recommended.",Số 6 trên 556 Chuyến tham quan bằng thuyền & thể thao dưới nước ở Hà Nội,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d4869921-Reviews-BestPrice_Travel-Hanoi.html
Crossing Vietnam Tour,-1,5.0,-1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/26/1f/07/crossing-vietnam-tour.jpg?w=600&h=500&s=1,"Eric verry good, được hôm mát trời, các bạn hộ trợ nhiệt tình thân thiện, bạn mình vui là được tròn nhiệm vị good good",Số 11 trên 556 Chuyến tham quan bằng thuyền & thể thao dưới nước ở Hà Nội,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d5584555-Reviews-Crossing_Vietnam_Tour-Hanoi.html
Sapa Sisters Trekking Adventures,-1,5.0,-1,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/01/b9/c1/76/yao-lan-doob-chi-n-lang.jpg?w=600&h=500&s=1,Ghé sapa nhiều chổ. Chổ nào cũng đẹp. Đồ ăn hấp dẫn lần sau lại ghé sapa và ghé tiếp ở đây. Thanks 1 chuyến du lịch tuyệt vời,Số 4 trên 185 Chuyến tham quan & hoạt động ở Sapa,https://www.tripadvisor.com.vn/Attraction_Review-g311304-d1960410-Reviews-Sapa_Sisters_Trekking_Adventures-Sapa_Lao_Cai_Province.html
Style Motorbikes,-1,5.0,"171 Cua Dai, Hà Nội 100000 Việt Nam",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/b2/45/d7/custom-honda-win.jpg?w=800&h=500&s=1,toi da thue 1 chiec xe suzuki gd 110cc de di vong quanh mien bac trong vong 10 ngay chiec xe hoat dong that tuyet voi trong moi dieu kien tren moi leo duong toi co the lai no lien tuc 4 tieng dong ho ma cam giac k thay moi met no rat khac biet voi 1 chiec honda win,Số 127 trên 960 Hoạt động ngoài trời ở Hà Nội,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d10077825-Reviews-Style_Motorbikes-Hanoi.html
