Title,Price,Rating,Address,Img_URL,Description,Rank_of_province,Link_Food,
5 Senses,-1,5,"Nikko Hotel, Ground Floor Valet Parking Available, Thành phố Hồ Chí Minh Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/27/a3/6e/3e/shrimps.jpg,"Mình đã có những trải nghiệm thú vị tại nhà hàng 5Senses , đồ ăn khá ngon và trình bày rất ấn tượng .Bạn nhân viên Quỳnh rất nhiệt tình và thân thiện. Bạn Quốc đã biểu diễn khá tốt màn múa teppan. Mình mong...Thêm",#365 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d25209955-Reviews-5_Senses-Ho_Chi_Minh_City.html,
Kabin,-1,5,"8-15 Ton Duc Thang Street, District 1 Renaissance Riverside Hotel Saigon, Thành phố Hồ Chí Minh 70000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-f/0f/2e/86/48/the-elegant-restaurant.jpg,"Đồ ăn siêu siêu ngon mình ăn lần này lần 9,10 rồi ạaa nvien thì siêu nhiệt tình nha mn nhất là chị Phụng và chị Tú nice cực",#1 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d3858605-Reviews-Kabin-Ho_Chi_Minh_City.html,
Latest Recipe,-1,5,"3C Đ. Tôn Đức Thắng Le Méridien Saigon, Mezzanine Floor, Thành phố Hồ Chí Minh 70000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-f/29/93/99/df/a-new-chic-sunday-brunch.jpg,Nhân viên Eddy Khanh phục vụ rất chu đáo và tư vấn món ăn cho khách rất nhiệt tình. Nhà hàng có món ăn rất ngon,#2 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d8537757-Reviews-Latest_Recipe-Ho_Chi_Minh_City.html,
The Lounge - Sheraton Saigon Hotel & Towers,-1,5,"80 Đông Du, Bến Nghé, Quận 1 Sheraton Saigon Hotel & Towers, Thành phố Hồ Chí Minh 70000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/19/39/15/75/the-lounge.jpg,Không gian yên tĩnh trang trí dễ thương hài hòa. Phục vụ nhẹ nhàng ân cần chu đáo có tính bao quát tốt. Thức ăn hợp khẩu vị trang trí bắt mắt hài hòaThêm,#3 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d7057524-Reviews-The_Lounge-Ho_Chi_Minh_City.html,
Reflections Restaurant,-1,5,"19-23 Công Trường Lam Sơn Tầng 3, Quận 1, Thành phố Hồ Chí Minh 848 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/27/89/42/bc/fine-dining-in-saigon.jpg,"Món ngon, nhân viên tốt, nhiệt tình. Bạn phục vụ rất dễ thương. Không gian sang trọng ấm cúng, nhạc hayThêm",#4 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d3354073-Reviews-Reflections_Restaurant-Ho_Chi_Minh_City.html,
Poke Saigon Ly Tu Trong,-1,5,"42 bis Ly Tu Trong First Floor, Thành phố Hồ Chí Minh 70000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/12/4e/6b/96/our-salmon-poke-bowl.jpg,"Đồ ăn tươi ngon sạch sẽ, nhiểu lựa chọn không thoáng mát,nhân viên thân thiện chắc chắn sẽ quay lại lần nữa🥰",#5 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d13307422-Reviews-Poke_Saigon_Ly_Tu_Trong-Ho_Chi_Minh_City.html,
Pasteur Street Brewing Company,-1,-1,"221 Hoàng Sa phường Tân Định, quận 1, Thành phố Hồ Chí Minh Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/26/60/7f/be/pasteur-street-hoang.jpg,"Kiểu Mỹ, Nhà hàng bán bia, Thịt nướng, Quán rượu, Kiểu Việt, Bản địa",,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d24998733-Reviews-Pasteur_Street_Brewing_Company-Ho_Chi_Minh_City.html,
Cafe de l’Opera,-1,4.5,"19-23 Công Trường Lam Sơn Caravelle Hotel, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/29/7c/cf/59/cafe-de-l-opera.jpg,"Thái độ phục vụ tốt, rất hài lòng, nhân viên dễ thương lắm. Đồ uống hợp khẩu vị mình, đồ ăn cũng ngon nữa 🥰Thêm",#6 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d6601040-Reviews-Cafe_de_l_Opera-Ho_Chi_Minh_City.html,
Việt Kitchen,-1,5,"8-15 Tôn Đức Thắng Khách Sạn Renaissance Riverside Saigon, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-f/16/95/61/d9/dinner-seafood-buffet.jpg,"Đồ ăn ngon, đa dạng, cảnh đẹp, trang trí sang trọng, các bạn nhân viên phục vụ nhiệt tình, dễ thương, giá cả phù hợp.Thêm",#7 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d11953280-Reviews-Viet_Kitchen-Ho_Chi_Minh_City.html,
Nhà Hàng Saigon Café,-1,5,"80 Đông Du, Phường Bến Nghé, Quận 1 Sheraton Saigon Hotel & Towers, Thành phố Hồ Chí Minh 70000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/19/38/f4/04/saigon-cafe.jpg,"Ngon tuyệt , nhân viên nhiệt tình dễ thương ! Muốn đến đây ăn hoài vì thực phẩm phong phú tươi ngon.Thêm",#9 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d1742388-Reviews-Saigon_Cafe_Seafood_Buffet_Restaurant-Ho_Chi_Minh_City.html,
