Title,Price,Rating,Address,Img_URL,Description,Rank_of_province,Link_ThingToDo
Danang Jini Nail,-1,-1,"115 Đ. Trần Phú Hải Châu 1, Đà Nẵng 550000 Việt Nam",-1,-1,-1,https://www.tripadvisor.com.vn/Attraction_Review-g298085-d25376273-Reviews-Danang_Jini_Nail-Da_Nang.html
Bức tường Hạnh phúc 0km,-1,-1,-1,-1,-1,-1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d25361645-Reviews-B_c_tu_ng_H_nh_phuc_0km-Hanoi.html
Postum Travel - Tours,-1,-1,-1,-1,-1,-1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d26123698-Reviews-Postum_Travel_Tours-Hanoi.html
ABI HOLIDAYS,-1,-1,-1,-1,-1,-1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d26123730-Reviews-ABI_HOLIDAYS-Hanoi.html
Vn Bike Tour,-1,-1,-1,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/11/46/50/54.jpg,-1,-1,https://www.tripadvisor.com.vn/Attraction_Review-g293925-d26105973-Reviews-Vn_Bike_Tour-Ho_Chi_Minh_City.html
VN BIKE TOUR,-1,-1,-1,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/11/46/52/1d.jpg,-1,-1,https://www.tripadvisor.com.vn/Attraction_Review-g293925-d26105978-Reviews-VN_BIKE_TOUR-Ho_Chi_Minh_City.html
Kimonista,-1,-1,"18 Tran Ngoc Dien, Thao Dien, Thành phố Hồ Chí Minh 70000 Việt Nam",-1,-1,-1,https://www.tripadvisor.com.vn/Attraction_Review-g293925-d26103509-Reviews-Kimonista-Ho_Chi_Minh_City.html
nguyen sy thanh,-1,-1,-1,-1,-1,-1,https://www.tripadvisor.com.vn/Attraction_Review-g298085-d26106316-Reviews-Nguyen_sy_thanh-Da_Nang.html
Mad Monkey Hoi An,-1,-1,-1,-1,-1,-1,https://www.tripadvisor.com.vn/Attraction_Review-g298082-d26164097-Reviews-Mad_Monkey_Hoi_An-Hoi_An_Quang_Nam_Province.html
Be Mi,-1,-1,-1,-1,-1,-1,https://www.tripadvisor.com.vn/Attraction_Review-g298082-d26152270-Reviews-Be_Mi-Hoi_An_Quang_Nam_Province.html
