Title,Price,Rating,Address,Img_URL,Description,Rank_of_province,Link_OutDoor
Hagiang Adv,-1,5.0,-1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/ec/a6/32/ha-giang-tuy-t-v-i-khi.jpg?w=1200&h=900&s=1,Để có được 1 chuyến đi tốt đẹp thì các bạn nên chuẩn bị cho riêng mình kiến thức đầy đủ và đồ dùng cá nhân. Giấy tờ phải luôn thật kỉ lưỡng nhé !,Số 22 trên 49 Phương tiện giao thông ở Hà Giang,https://www.tripadvisor.com.vn/Attraction_Review-g1544599-d19108680-Reviews-Hagiang_Adv-Ha_Giang_Ha_Giang_Province.html
Best Price Tour Co.ltd,-1,5.0,-1,-1,"Very good experience tour, professional service. Reputable company, quality service, friendly and enthusiastic staff. There were many activities: do kayaking, swimming. The foods was very delicious with many seafoods. Thanks you for everything.",Số 120 trên 229 Chuyến tham quan bằng thuyền & thể thao dưới nước ở Vịnh Hạ Long,https://www.tripadvisor.com.vn/Attraction_Review-g293923-d25178006-Reviews-Best_Price_Tour_Co_ltd-Halong_Bay_Quang_Ninh_Province.html
Viet Beauty Cruise - Private Day Tour,-1,4.0,-1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/28/75/76/viet-beauty-cruise-private.jpg?w=400&h=-1&s=1,"Picked up right on time and had a pleasant drive to Ha Long Bay in an air-conditioned bus. The guide was friendly and spoke good English. Food on the boat was REALLY good! Rooms were good and clean with private bathrooms. Boat only had about 12 rooms so it is small and that is really nice. In the tour you see some cool caves and a pearl production place. You can also get kayaks and get the chance to swim off of a beach one day. Water is however very dirty and pretty crowded.

We decided to pay slightly more and go for Viet Beauty which we are happy to have done. If you want good food, clean rooms, a small and calm boat, Viet Beauty is great. Many other boats are huge and dirty, many are also over booked and have people sleeping on floors, really loud karaoke etc.",Số 121 trên 229 Chuyến tham quan bằng thuyền & thể thao dưới nước ở Vịnh Hạ Long,https://www.tripadvisor.com.vn/Attraction_Review-g293923-d7377271-Reviews-Viet_Beauty_Cruise_Private_Day_Tour-Halong_Bay_Quang_Ninh_Province.html
WANEE - Wild and Nature explore in Vietnam,-1,5.0,-1,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/0f/ec/6c/61.jpg,"Wanee Vietnam gave me a wonderful nature discovery trip to Cat Tien National Park. In addition to the natural experience, I also learned a lot of knowledge about nature and conservation from the guides. Thank you Wanee for the trip.",Số 153 trên 424 Hoạt động ngoài trời ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Attraction_Review-g293925-d25130681-Reviews-WANEE_Wild_and_Nature_explore_in_Vietnam-Ho_Chi_Minh_City.html
-1,-1,5.0,-1,-1,"Tôi đã có một chuyến đi tuyệt vời, tàu rất đẹp, mới, phòng rộng, nhân viên nhiệt tình và thân thiện.
Cảm ơn bạn đã đem đến cho tôi trải nghiệm trên du thuyền hấp dẫn này.",Số 149 trên 494 Phương tiện giao thông ở Hà Nội,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d16750769-Reviews-Ha_Long_Heritage-Hanoi.html
Cho Thuê Xe Máy Xuân Tính,-1,5.0,"162 Tây Sơn Đối diện bến xe Quy Nhơn, Quy Nhơn 590000 Việt Nam",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/9c/06/49/photo0jpg.jpg?w=900&h=600&s=1,"Quá tuyệt vời,dịch vụ hoàn hảo,con người thân thiện .Xe mới chất lượng giá cả hợp lý .Chúng tôi sẽ còn quay lại",Số 8 trên 21 Hoạt động ngoài trời ở Quy Nhơn,https://www.tripadvisor.com.vn/Attraction_Review-g608528-d14758490-Reviews-Xuan_Tinh_Motor_Forent-Quy_Nhon_Binh_Dinh_Province.html
vietnam trip easy,-1,5.0,-1,-1,"Chúng tôi rất hài lòng về chất lượng dịch vụ của họ. Làm việc rất nhanh nhẹn, nhiệt tình và chuyên nghiệp. Tạo điều kiện tốt nhất cho du khách trải nghiệm, thăm quan và có 1 chuyến đi tuyệt vời. Cảm ơn các bạn rất nhiều. Hi vọng sẽ được gặp lại các bạn vào những kế hoạch du lịch sắp tới.",Số 2 trên 8 Phương tiện giao thông ở Ha Long,https://www.tripadvisor.com.vn/Attraction_Review-g14776299-d19767792-Reviews-Vietnam_trip_easy-Ha_Long_Quang_Ninh_Province.html
SurfBird School,-1,5.0,-1,,"If you are dreaming of conquering the elements, racing on the wind or sliding on the waves - Surfburd school is what you need. You will get unforgettable and positive experience, and will receive first class training. The professional team of Surfbird school knows their stuff! We have been together for two years: Muyne, Da nang, Bali and Vladivostok. This is your best choice- Surfbird school! Ilia Chaika real Waterman 🤙",Số 17 trên 26 Chuyến tham quan bằng thuyền & thể thao dưới nước ở Mũi Né,https://www.tripadvisor.com.vn/Attraction_Review-g1009804-d19565390-Reviews-SurfBird_School-Mui_Ne_Phan_Thiet_Binh_Thuan_Province.html
Asia Motorbike Adventures,-1,5.0,-1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/ad/0f/54/sapa-motorbike-tours.jpg?w=1200&h=-1&s=1,It was a raining day but we had the best time ever. The driving to villages were great and we saw the real sapa not the touristic one. Will definitely recommended,Số 67 trên 152 Hoạt động ngoài trời ở Sapa,https://www.tripadvisor.com.vn/Attraction_Review-g311304-d15308200-Reviews-Asia_Motorbike_Adventures-Sapa_Lao_Cai_Province.html
Local tours in Hoi An,-1,5.0,-1,-1,"Mình đã cùng gia đình đi từ Hội An, Đà Nẵng, Huế từ dịch vụ xe bên này. Rất chuyên nghiệp, xe đời mới, tài xế vui vẻ, nhiệt tình. Sẽ tiếp tục sử dụng dịch vụ bên đây cho lần tới. Cảm ơn các bạn rất nhiều",Số 62 trên 187 Phương tiện giao thông ở Hội An,https://www.tripadvisor.com.vn/Attraction_Review-g298082-d19393269-Reviews-Local_tours_in_Hoi_An-Hoi_An_Quang_Nam_Province.html
Cat Ba Local Adventure,-1,4.0,-1,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/09/f8/2c/c4.jpg,"Great 1-day Lanha-Halong Bay trip with tasty and plenty food, good kayaking and great views and seabirds and monkeys, cold beer and our very friendly guide Ling.",Số 131 trên 229 Chuyến tham quan bằng thuyền & thể thao dưới nước ở Vịnh Hạ Long,https://www.tripadvisor.com.vn/Attraction_Review-g293923-d19724872-Reviews-Cat_Ba_Local_Adventure-Halong_Bay_Quang_Ninh_Province.html
Jerry Phu Quoc Driver tours,-1,5.0,-1,-1,"Jerry is an extremely patient, informative and very helpful tour guide! I learnt a lot during the farm tours (pepper farm, snake farm) thanks to Jerry’s extensive knowledge. Also, we visited the Starfish Beach and he explained to us that many Starfish die because tourists take them out of the water and leave them on the shore after taking pictures with them. Please conserve the starfish population!!! Overall, would really recommend Jerry as your tour guide for your holiday here if you’d like someone who knows Phu Quoc really really well :)",Số 13 trên 54 Phương tiện giao thông ở Đảo Phú Quốc,https://www.tripadvisor.com.vn/Attraction_Review-g469418-d19328724-Reviews-Jerry_Phu_Quoc_Driver_tours-Phu_Quoc_Island_Kien_Giang_Province.html
Basket Boat Tour Rung Dua Hoi An,-1,4.0,-1,-1,-1,Số 58 trên 127 Chuyến tham quan bằng thuyền & thể thao dưới nước ở Hội An,https://www.tripadvisor.com.vn/Attraction_Review-g298082-d17729925-Reviews-Basket_Boat_Tour_Rung_Dua_Hoi_An-Hoi_An_Quang_Nam_Province.html
Private Da Nang Hoi An Hue Tours by Locals,-1,4.5,-1,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/09/e3/7f/a4.jpg,-1,Số 2 trên 4 Chuyến tham quan & hoạt động ở Tho Quang,https://www.tripadvisor.com.vn/Attraction_Review-g15339118-d19622692-Reviews-Private_Da_Nang_Hoi_An_Hue_Tours_by_Locals-Tho_Quang_Son_Tra_Peninsula_Da_Nang.html
CASA Green Journey,-1,5.0,-1,-1,"Cody nous a emmené au marché flottant local où nous étions les seules touristes. Nous sommes allées dans un marché local où on a vu la fabrication du tofu puis dans une fabrique de nouilles de riz. La demi journée était très sympa, le guide est super et parle très bien anglais, on recommande !",Số 3 trên 16 Phương tiện giao thông ở Cần Thơ,https://www.tripadvisor.com.vn/Attraction_Review-g303942-d19086070-Reviews-CASA_Green_Journey-Can_Tho_Mekong_Delta.html
The Vietnam Wanderers,-1,5.0,-1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/c3/a4/da/riding-along-the-coastal.jpg?w=1200&h=-1&s=1,"Nha Trang is such a beautiful place to travel, especially when you had an unforgettable tour with all the kindness and happiness, highly recommend !!
P.s: Tam is a lovely tour guide , so great to meet nice person like you when enjoying the trip, your english is my big surprise that I'm so appreciate, it helps me a lots, thank you again.",Số 50 trên 142 Chuyến tham quan bằng thuyền & thể thao dưới nước ở Nha Trang,https://www.tripadvisor.com.vn/Attraction_Review-g293928-d14015009-Reviews-The_Vietnam_Wanderers-Nha_Trang_Khanh_Hoa_Province.html
