Title,Price,Rating,Address,Img_URL,Description,Rank_of_province,Link_FoodTour,Unnamed: 8,Unnamed: 9
Apron Up Cooking Class,-1,5.0,"8 P. Gia Ngư Hoàn Kiếm, Hà Nội 008404 Việt Nam",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/c7/d0/83/group-cooking-class.jpg?w=900&h=600&s=1,"Lớp cơm nay thì rất thú vị.
Tôi có thể được kinh nghiệm lần đầu tiên.so với gia vị của nước mình khác nhau nhiều.",Số 1 trên 224 Lớp học & hội thảo ở Hà Nội,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d10308834-Reviews-Apron_Up_Cooking_Class-Hanoi.html,,
Thuan Tinh Island - Cooking Tour,-1,5.0,"Thôn Thanh Nhứt, Xã Cẩm Thanh, Hội An 560000 Việt Nam",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/7e/43/5c/photo0jpg.jpg?w=900&h=600&s=1,"Tôi đã cùng với chồng và con đến đây vào một dịp cuối tuần . Lớp học nấu ăn rất thú vị , nhân viên thân thiện , không gian yên bình . Con tôi đã được tiếp xúc trực tiếp và có nhiều cảm nhận về cuộc sống , thiên nhiên nơi đây . Chúng rất vui vẻ qua việc bắt cua và câu cá , cũng như chèo thuyền trên sông...",Số 11 trên 167 Lớp học & hội thảo ở Hội An,https://www.tripadvisor.com.vn/Attraction_Review-g298082-d2012305-Reviews-Thuan_Tinh_Island_Cooking_Tour-Hoi_An_Quang_Nam_Province.html,,
Green Bamboo Cooking School & Cafe,-1,5.0,-1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/02/37/2b/8b/green-bamboo-cooking.jpg?w=900&h=600&s=1,Van is the absolute best. Second class having done it pre kids 12 years ago. Van is so accommodating and patient and hosts you in her own kitchen unlike most of the other cooking classes. She will teach you to cook between 5-7 dishes - just wonderful - skills you will use forever. Hands down a fantastic family experience.,Số 12 trên 167 Lớp học & hội thảo ở Hội An,https://www.tripadvisor.com.vn/Attraction_Review-g298082-d2038078-Reviews-Green_Bamboo_Cooking_School_Cafe-Hoi_An_Quang_Nam_Province.html,,
Morning Glory Cooking School & Culinary Academy,-1,4.5,-1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/07/f8/64/cooking-class.jpg?w=900&h=600&s=1,Không nghĩ rằng ngay trung tâm phố cổ lại có một quán ăn có dịch vụ quá tệ đến vậy. Hi vọng sẽ thấy quán đóng cửa trong thời gian sớm nhất.,Số 31 trên 167 Lớp học & hội thảo ở Hội An,https://www.tripadvisor.com.vn/Attraction_Review-g298082-d1142475-Reviews-Morning_Glory_Cooking_School_Culinary_Academy-Hoi_An_Quang_Nam_Province.html,,
HCM Cooking Class,-1,5.0,"275 Tỉnh Lộ 2 Ấp 3, Phước Vĩnh An, Thành phố Hồ Chí Minh 70000 Việt Nam",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/71/6d/b1/full-basket-after-harvesting.jpg?w=900&h=600&s=1,"Thanks to the Chef ~Alice Doan for a fantastic cooking session and her adventure from the farm to the Dining Table , excellent experience do it again recommend to all",Số 5 trên 147 Lớp học & hội thảo ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Attraction_Review-g293925-d3677899-Reviews-HCM_Cooking_Class-Ho_Chi_Minh_City.html,,
Tra Que Water Wheel,-1,5.0,"Tra Que Organic Herbs Village, Hội An 560000 Việt Nam",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/79/aa/54/fun-hoi-an-experience.jpg?w=900&h=600&s=1,"Tra Que Water Wheel nằm giữa vườn rau Trà Quế nổi tiếng, lối vào nhà có rất nhiều rau thơm, đến đây bạn sẽ được đón tiếp tận tình và chu đáo, thưởng thức giọng hát Bài chòi mượt mà, học nấu các món ăn dân giã nhưng đầy thú vị của mảnh đất miền Trung này.",Số 2 trên 56 Danh lam & Thắng cảnh ở Hội An,https://www.tripadvisor.com.vn/Attraction_Review-g298082-d1163962-Reviews-Tra_Que_Water_Wheel-Hoi_An_Quang_Nam_Province.html,,
TNK Travel,-1,5.0,-1,-1,"ツアーのジャックはとても素晴らしい方でした。お値段以上の体験型確実にできて、とても良いホーチミンの滞在になりました。
Jack tour du lịch là một chàng trai tuyệt vời. Có tất cả 9 người tham gia và tất cả họ đều thông thạo tiếng Anh. Tôi cũng rất thích sự tương tác giữa những người tham gia. Đó là một kỳ nghỉ rất tốt ở Thành phố Hồ Chí Minh, vì nó chắc chắn dựa trên trải nghiệm hơn là giá cả.",Số 1 trên 147 Lớp học & hội thảo ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Attraction_Review-g293925-d1557134-Reviews-TNK_Travel-Ho_Chi_Minh_City.html,,
Red Bridge Restaurant and Cooking School,-1,4.5,"Thon 4, Cam Thanh, Hội An 1111 Việt Nam",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/4e/80/9e/salle-de-cours-en-plein.jpg?w=900&h=600&s=1,"Tour hạp lý, giá cả phải chăng. HDV Vinh nhiệt tình, chu đáo và vui tính. 👌👌👌
Nói chung cả đoàn vui ☺️☺️",Số 32 trên 167 Lớp học & hội thảo ở Hội An,https://www.tripadvisor.com.vn/Attraction_Review-g298082-d1061045-Reviews-Red_Bridge_Restaurant_and_Cooking_School-Hoi_An_Quang_Nam_Province.html,,
Hanoi Backstreet Tours,-1,5.0,-1,-1,"Quá Tuyệt Vời,Nhân Viên Nhiệt tình, có một chuyến đi thật tuyệt vời ok 👍 , nhân viên chu đáo ......",Số 50 trên 456 Đồ ăn & Đồ uống ở Hà Nội,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d11851500-Reviews-Hanoi_Backstreet_Tours-Hanoi.html,,
Blue Butterfly Cooking Class,-1,5.0,-1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/b3/8b/94/blue-butterfly-cooking.jpg?w=900&h=600&s=1,"Buổi tối ngày lễ tình nhân tuyệt vời, đồ ăn ngon độc đáo. Nhân viên nhà hàng nhiệt tình nhanh nhẹn. Không gian bày trí lãng mạn ấm cúng.
Rất tuyệt vời",Số 5 trên 224 Lớp học & hội thảo ở Hà Nội,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d1488975-Reviews-Blue_Butterfly_Cooking_Class-Hanoi.html,,
