Title,Price,Rating,Address,Img_URL,Description,Rank_of_province,Link_Transfer
Tran rent a car English speaking driver,-1,5.0,-1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/44/74/a6/caption.jpg?w=1200&h=-1&s=1,"Amazing affordable service, high professional driver with fluent english level. Highly recommend 👍🏻👍🏻👍🏻",Số 48 trên 273 Phương tiện giao thông ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Attraction_Review-g293925-d20543015-Reviews-Tran_rent_a_car_English_speaking_driver-Ho_Chi_Minh_City.html
Thienphuoc Travel,-1,5.0,-1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/1d/d3/fe/caption.jpg?w=1200&h=-1&s=1,"Tháng 7 vừa qua mình có đặt combo du lịch Nha Trang bên công ty, nhân viên tư vấn nhiệt tình còn nhắc nhở ngày giờ đến và ngày giờ về, tư vấn cho mình những địa điểm vui chơi ở Nha Trang còn nhắc đeo khẩu trang vì đang mùa dịch nữa🥰Mình ở Queen An hotel được công ty giới thiệu, khách sạn đẹp, dịch vụ tốt. Hứa sẽ ủng hộ Thiên Phước dài dài",Số 134 trên 494 Phương tiện giao thông ở Hà Nội,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d17325844-Reviews-Thienphuoc_Travel-Hanoi.html
Viet Nam Backpacker & local motobike,-1,5.0,-1,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/10/6e/73/d9.jpg,-1,Số 30 trên 107 Phương tiện giao thông ở Huế,https://www.tripadvisor.com.vn/Attraction_Review-g293926-d25438778-Reviews-Viet_Nam_Backpacker_local_motobike-Hue_Thua_Thien_Hue_Province.html
Dark Cave Phong Nha Tours,-1,5.0,-1,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/0f/ed/d0/81.jpg,"A friend and I came to the cave and spent a hilarious couple of hours getting involved in the sporty and active adventure within the cave. We missed the safety video which in hindsight would have been helpful as we did not know how to successfully stop ourselves as the bottom of the zipline (we both graciously crashed into the mat). We had a lot of fun with our tour guide who helped us get equipped with helmets and torches before we acclimatised to the cold water, swam 10-40m to the cave entrance and hiked in through a muddy pathway. The guide called out when we needed to slow down to get safely through the tunnel. We arrived at a mud bath which was very slippery but the whole group loved getting fully involved in the mud and we had a great laugh all together. If you do not want to get muddy, this trip is NOT for you. Then we went back out for a cold dip and to remove the mud from our bodies and clothing, before kayaking (which was a lot of effort after we had laughed so much) back to the adventure course. This part is optional but we stayed and did a mini zip line, a big dive into the water and a small assault course over the water. A very fun afternoon and well worth the price if you are with a good group of adventurous people!",Số 1 trên 2 Giải trí về đêm ở Son Trach,https://www.tripadvisor.com.vn/Attraction_Review-g12654020-d25133655-Reviews-Dark_Cave_Phong_Nha_Tours-Son_Trach_Quang_Binh_Province.html
Vietnam Box Travel,-1,5.0,-1,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/0a/89/b1/23.jpg,"chúng tôi được đi thăm quan Mai Châu với hướng dẫn viên chuyên nghiệp, lái xe và người dân địa phương vô cùng thân thiện với khách. Chúng tôi được đi đạp xe quanh các bản với phong cảnh rất đẹp. Thực đơn các bữa luôn làm chúng tôi bất ngờ về hương vị, vô cùng đặc sắc. Tôi đã chụp được nhiều ảnh đẹp, đặc biệt là cánh đồng lúa. Chúng tôi đã có một chuyến đi thực sự vui và trở về nhà với ấn tượng lớn.",Số 137 trên 494 Phương tiện giao thông ở Hà Nội,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d20214221-Reviews-Vietnam_Box_Travel-Hanoi.html
INDOCHINA SUNSHINE,-1,5.0,-1,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/0f/ef/40/56.jpg,"This is my 1st time traveled to Vietnam with family for 1 week and got such joyful moments without any annoyance. When I received the itinerary , it was good enough for me everything described, but honestly, I had some doubts about the time arrangement whether can make it accordingly or not. But they proved me with their works, well organized and managed time frame throughout the trip as stated. Really thumb up for you!
All their local tour guides are quite supportive, knowledgeable and patience. Provided us good hotel locations and accommodations, that serve with delicious breakfast. Transportation as like VIP.
Here, I would like to say special thanks to Ms.Luna (Vietnam side) who fully supported to us when we got faced immigration issue at Hanoi Airport, even in new year night.",Số 74 trên 224 Lớp học & hội thảo ở Hà Nội,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d25139499-Reviews-INDOCHINA_SUNSHINE-Hanoi.html
Hoianvividtours,-1,5.0,-1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/3f/63/af/getlstd-property-photo.jpg?w=900&h=900&s=1,Thank you Trieu for a very memorable tour of the My Son site and for organising our transfer from Hue to Hoi An. My daughter and I very much enjoyed your company and appreciated your passion for and knowledge of the My Son site. The visit would not have been the same without you! Thank you also for your clear and courteous email communication in organising both the tour and transfer.,Số 45 trên 187 Phương tiện giao thông ở Hội An,https://www.tripadvisor.com.vn/Attraction_Review-g298082-d14179581-Reviews-Hoianvividtours-Hoi_An_Quang_Nam_Province.html
Sustainable Travel by Triip,-1,5.0,-1,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/09/ae/6a/1d.jpg,"it was the most wonderful trip I've ever had. Luckily, I'm accompanied with the attentive tour guide, she was great and had a lot of interesting knowledge about Son Tra. Enjoying the local food was my best experience ever in Danang. Moreover, we also use water bottle made from inox instead of plastic one to protect the environment...that's a good thing for the earth, I reaaly appreciate it!",Số 41 trên 215 Phương tiện giao thông ở Đà Nẵng,https://www.tripadvisor.com.vn/Attraction_Review-g298085-d19431408-Reviews-Sustainable_Travel_by_Triip-Da_Nang.html
Cay Brothers Tours in Ha Giang,-1,5.0,-1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/37/3b/38/cay-brothers-tours-in.jpg?w=1200&h=900&s=1,I had the most amazing time on the 3 day tour around Ha Giang. Cay is so lovely and made our time so fun! his English is very good and he helped us with anything we needed. I’d recommend him to anyone wanting to do the Ha Giang loop,Số 18 trên 49 Phương tiện giao thông ở Hà Giang,https://www.tripadvisor.com.vn/Attraction_Review-g1544599-d24074286-Reviews-Cay_Brothers_Tours_in_Ha_Giang-Ha_Giang_Ha_Giang_Province.html
Vietnam Package Tour - Booking Office,-1,5.0,-1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/44/49/bb/vietnam-package-tour.jpg?w=1200&h=900&s=1,"We found the package from Vietnam booking tours via Facebook. Deeply thanks to Ms Jane , who was always patient with our questions. My family only has 5 days in Vietnam, but she gave us memorable holiday. We highly recommend Jane to everyone. Don’t hesitate to ask Jane for an amazing trip.",Số 133 trên 494 Phương tiện giao thông ở Hà Nội,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d25554255-Reviews-Vietnam_Package_Tour_Booking_Office-Hanoi.html
